method,model,idx,n_steps,edit_success,over_extinction,oe_damage,neighborhood_preservation,paraphrase_success,locality_drop,baseline_prob,final_p_true,training_loss_final,n_mlp,oe_source
OurMethod_5step,Qwen/Qwen3-0.6B,39,5,1.0,0.064286,,,,,0.0002,0.0,0.0,15,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,40,5,1.0,0.077143,,,,,0.0,0.0,0.0,18,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,41,5,0.9989,0.072777,,,,,0.0011,0.0,0.0,17,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,42,5,1.0,0.098571,,,,,0.0,0.0,0.0,23,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,43,5,1.0,0.081429,,,,,0.0001,0.0,0.0,19,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,44,5,0.9999,0.102847,,,,,0.0004,0.0,0.0,24,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,45,5,0.9999,0.094276,,,,,0.0126,6.786348332878657e-41,0.0,22,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,46,5,1.0,0.094286,,,,,0.0,0.0,0.0,22,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,47,5,0.9941,0.085209,,,,,0.0007,4.168022152287736e-41,0.0,20,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,48,5,1.0,0.034286,,,,,0.0005,0.0,0.0,8,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,49,5,1.0,0.064286,,,,,0.0014,0.0,0.0,15,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,0,10,1.0,0.047143,,,,,0.0018,4.203895392974451e-45,0.0,11,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,1,10,1.0,0.068571,,,,,0.0064,0.0,0.0,16,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,2,10,1.0,0.115714,,,,,0.0,0.0,0.0,27,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,3,10,0.9999,0.089991,,,,,0.0,0.0,0.0,21,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,4,10,1.0,0.077143,,,,,0.0,0.0,0.0,18,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,5,10,1.0,0.094286,,,,,0.0159,0.0,0.0,22,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,6,10,1.0,0.085714,,,,,0.0,0.0,0.0,20,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,7,10,0.9699,0.087291,,,,,0.0002,0.0,0.0,21,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,8,10,1.0,0.077143,,,,,0.0,0.0,0.0,18,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,9,10,1.0,0.072857,,,,,0.0,0.0,0.0,17,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,10,10,1.0,0.072857,,,,,0.0,0.0,0.0,17,synthetic_approx
