pair_idx,condition,method,A_idx,B_idx,A_subject,B_subject,A_relation,B_relation,n_mlp_A,n_mlp_B,n_attn_A,n_attn_B,p_new_A_solo,p_new_B_solo,p_new_A_postA,p_new_A_postAB,p_new_B_postAB,p_true_A_postAB,p_true_B_postAB,kl_A_solo,kl_B_solo,kl_postA,kl_postAB,retention_A,retention_A_abs,success_B,kl_super_additivity,status,n_mlp_total,n_attn_total,n_params_total,kl_max_solo,kl_min_solo,kl_sum_solo,kl_postAB_vs_max_solo,kept
12,shared,Random,861,4621,The Decameron,The Decameron,P364,P495,15,10,0,0,0.0005223173066042364,0.9964610934257507,0.0005223173066042364,0.1199793741106987,0.001361854374408722,6.305382903045993e-38,7.550238164736044e-40,8.64828872680664,23.340606689453125,8.64828872680664,16.83855438232422,229.70591361547196,0.1199793741106987,0.001361854374408722,-15.150341033935547,ok,25,0,25,23.340606689453125,8.64828872680664,31.988895416259766,0.7214274507240218,0
13,shared,ACDC,877,2998,Christoph Willibald von Gluck,Christoph Willibald von Gluck,P937,P1412,7,5,5,4,0.3567391335964203,0.9013590812683105,0.3567391335964203,1.1740690364359097e-10,0.6427212357521057,1.585920962967908e-17,3.1505456151586064e-37,16.556583404541016,15.460447311401367,16.556583404541016,18.345823287963867,3.291113662243e-10,1.1740690364359097e-10,0.6427212357521057,-13.671207427978516,ok,12,9,21,16.556583404541016,15.460447311401367,32.01703071594238,1.1080681828916534,0
13,shared,ROMEtrace,877,2998,Christoph Willibald von Gluck,Christoph Willibald von Gluck,P937,P1412,5,5,0,0,0.9999969005584717,0.046530645340681076,0.9999969005584717,7.603983631990219e-13,0.9761096239089966,5.112363280254992e-20,2.0279575734975813e-34,15.56004810333252,11.190839767456055,15.56004810333252,13.533535957336426,7.604007200165916e-13,7.603983631990219e-13,0.9761096239089966,-13.217351913452148,ok,10,0,10,15.56004810333252,11.190839767456055,26.750887870788574,0.8697618328337897,0
13,shared,Random,877,2998,Christoph Willibald von Gluck,Christoph Willibald von Gluck,P937,P1412,7,5,0,0,1.0,0.9979894757270813,1.0,4.613613297280682e-14,0.6561241149902344,4.65695293556217e-21,1.571854705607691e-28,60.363014221191406,35.530757904052734,60.363014221191406,20.540685653686523,4.613613297280682e-14,4.613613297280682e-14,0.6561241149902344,-75.35308647155762,ok,12,0,12,60.363014221191406,35.530757904052734,95.89377212524414,0.3402859502412884,0
14,shared,ACDC,956,1905,Largo Winch II,Largo Winch II,P364,P495,15,3,18,4,0.9998210072517395,7.669554179301485e-05,0.9998210072517395,0.9516891241073608,0.0007305940962396562,1.0050494050731473e-20,2.362287371162426e-38,35.875091552734375,13.430334091186523,35.875091552734375,19.609561920166016,0.9518595000552336,0.9516891241073608,0.0007305940962396562,-29.695863723754883,ok,18,22,40,35.875091552734375,13.430334091186523,49.3054256439209,0.5466066028386591,1
14,shared,ROMEtrace,956,1905,Largo Winch II,Largo Winch II,P364,P495,5,5,0,0,0.9815141558647156,0.8404529094696045,0.9815141558647156,0.006476243492215872,9.197493454848882e-06,0.0016829516971483827,8.941097174536405e-23,20.356258392333984,10.810505867004395,20.356258392333984,16.030057907104492,0.006598217105193241,0.006476243492215872,9.197493454848882e-06,-15.136706352233887,ok,10,0,10,20.356258392333984,10.810505867004395,31.16676425933838,0.7874756548158818,0
14,shared,Random,956,1905,Largo Winch II,Largo Winch II,P364,P495,15,3,0,0,0.14380429685115814,0.9998164772987366,0.14380429685115814,1.1586573236854747e-05,0.8542476296424866,2.752119689830579e-05,2.554182589122224e-16,15.0596923828125,26.823123931884766,15.0596923828125,13.119264602661133,8.057181524170453e-05,1.1586573236854747e-05,0.8542476296424866,-28.763551712036133,ok,18,0,18,26.823123931884766,15.0596923828125,41.882816314697266,0.4891027844473479,0
15,disjoint,ACDC,8,2626,Wellington,"Inami, Toyama",P190,P17,7,6,2,5,1.0,1.0,1.0,4.166371425640136e-08,0.9999699592590332,1.5491706311616416e-18,1.961817850054744e-43,22.51604461669922,47.10518264770508,22.51604461669922,32.32771301269531,4.166371425640136e-08,4.166371425640136e-08,0.9999699592590332,-37.293514251708984,ok,13,7,20,47.10518264770508,22.51604461669922,69.6212272644043,0.6862878179344092,0
15,disjoint,ROMEtrace,8,2626,Wellington,"Inami, Toyama",P190,P17,5,5,0,0,1.0,0.97999507188797,1.0,1.0,0.9942655563354492,1.1868851114869463e-32,1.8831124157217402e-32,15.65900993347168,20.9735107421875,15.65900993347168,24.61768913269043,1.0,1.0,0.9942655563354492,-12.01483154296875,ok,10,0,10,20.9735107421875,15.65900993347168,36.63252067565918,1.173751473241568,1
15,disjoint,Random,8,2626,Wellington,"Inami, Toyama",P190,P17,7,6,0,0,1.0,0.9999998807907104,1.0,5.393340413623092e-16,1.0,3.683509300363456e-18,4.1646296087056055e-39,36.23787307739258,45.81370162963867,36.23787307739258,32.27822494506836,5.393340413623092e-16,5.393340413623092e-16,1.0,-49.77334976196289,ok,13,0,13,45.81370162963867,36.23787307739258,82.05157470703125,0.7045539608654176,0
16,disjoint,ACDC,4720,1274,Don Carlos,Tim K,P495,P19,12,22,27,98,0.9999995231628418,1.0,0.9999995231628418,1.2268988993160979e-13,1.0,1.400298536268914e-22,1.3887470258186974e-33,31.550357818603516,60.892093658447266,31.550357818603516,44.168922424316406,1.2268994843473614e-13,1.2268988993160979e-13,1.0,-48.273529052734375,ok,34,125,159,60.892093658447266,31.550357818603516,92.44245147705078,0.7253638324881126,0
16,disjoint,ROMEtrace,4720,1274,Don Carlos,Tim K,P495,P19,5,5,0,0,0.9999911785125732,0.9943662285804749,0.9999911785125732,0.022200027480721474,0.0018130899406969547,4.7300878491807197e-11,2.0818172489708853e-13,31.77214813232422,13.074703216552734,31.77214813232422,17.54970932006836,0.02220022331971236,0.022200027480721474,0.0018130899406969547,-27.297142028808594,ok,10,0,10,31.77214813232422,13.074703216552734,44.84685134887695,0.5523614345173503,0
16,disjoint,Random,4720,1274,Don Carlos,Tim K,P495,P19,12,22,0,0,0.9999997615814209,1.0,0.9999997615814209,5.954932247214579e-26,1.0,6.837422727587159e-19,1.157447308159941e-39,35.8253059387207,24.678817749023438,35.8253059387207,47.58464813232422,5.954933666981403e-26,5.954932247214579e-26,1.0,-12.919475555419922,ok,34,0,34,35.8253059387207,24.678817749023438,60.50412368774414,1.3282412218256532,0
17,disjoint,ACDC,1160,331,Vijayawada Junction railway station,Antonio Valencia,P17,P413,9,23,13,89,1.0,0.999756395816803,1.0,5.237142642298964e-13,3.012191435501651e-17,1.6035128086455686e-11,2.0850939206151287e-22,40.93927001953125,29.477134704589844,40.93927001953125,32.390411376953125,5.237142642298964e-13,5.237142642298964e-13,3.012191435501651e-17,-38.02599334716797,ok,32,102,134,40.93927001953125,29.477134704589844,70.4164047241211,0.7911819473454302,0
17,disjoint,ROMEtrace,1160,331,Vijayawada Junction railway station,Antonio Valencia,P17,P413,5,5,0,0,0.9978099465370178,0.6155482530593872,0.9978099465370178,0.24574066698551178,0.9999954700469971,1.6261964648142668e-12,1.849111414569099e-40,16.86876678466797,14.27258014678955,16.86876678466797,14.455187797546387,0.24628003342557883,0.24574066698551178,0.9999954700469971,-16.686159133911133,ok,10,0,10,16.86876678466797,14.27258014678955,31.14134693145752,0.8569202468721492,0
17,disjoint,Random,1160,331,Vijayawada Junction railway station,Antonio Valencia,P17,P413,9,23,0,0,3.314757579531147e-09,1.0,3.314757579531147e-09,1.4678022184732957e-15,0.9999656677246094,6.03396120890636e-18,3.981088937146805e-42,10.660806655883789,46.33111572265625,10.660806655883789,31.661724090576172,1.4678022184732957e-07,1.4678022184732957e-15,0.9999656677246094,-25.330198287963867,ok,32,0,32,46.33111572265625,10.660806655883789,56.99192237854004,0.6833792710736158,0
18,disjoint,ACDC,2622,2717,Trevor Sargent,Karachi,P106,P190,21,11,122,11,0.999998927116394,0.9999988079071045,0.999998927116394,3.8932173457295605e-11,0.0006319841486401856,8.172960974661692e-07,8.32518698889919e-15,67.26961517333984,24.356704711914062,67.26961517333984,18.16938591003418,3.893221522703107e-11,3.8932173457295605e-11,0.0006319841486401856,-73.45693397521973,ok,32,133,165,67.26961517333984,24.356704711914062,91.6263198852539,0.2700979612149622,0
18,disjoint,ROMEtrace,2622,2717,Trevor Sargent,Karachi,P106,P190,5,5,0,0,0.9999588131904602,0.9907534718513489,0.9999588131904602,0.0001360163150820881,0.9999603033065796,1.3467968121642205e-16,9.657967618687074e-39,33.283939361572266,12.05518913269043,33.283939361572266,19.583011627197266,0.00013602191739089294,0.0001360163150820881,0.9999603033065796,-25.75611686706543,ok,10,0,10,33.283939361572266,12.05518913269043,45.339128494262695,0.5883621951855462,0
18,disjoint,Random,2622,2717,Trevor Sargent,Karachi,P106,P190,21,11,0,0,0.9999938607215881,1.0,0.9999938607215881,1.9919864369111195e-12,0.999997615814209,2.0875098033760793e-18,1.233195842021101e-32,58.8575325012207,29.408966064453125,58.8575325012207,26.57513427734375,1.9919986663455284e-12,1.9919864369111195e-12,0.999997615814209,-61.69136428833008,ok,32,0,32,58.8575325012207,29.408966064453125,88.26649856567383,0.4515162825895323,0
19,disjoint,ACDC,1500,4024,Chris Daughtry,Julian Lennon,P1303,P1303,23,23,94,65,0.9999960064888,0.9999996423721313,0.9999960064888,0.9999998807907104,0.9999998807907104,2.0108632963061125e-42,2.013665893234762e-42,44.00959014892578,45.651145935058594,44.00959014892578,17.66846466064453,1.0000038743173825,0.9999998807907104,0.9999998807907104,-71.99227142333984,ok,46,159,205,45.651145935058594,44.00959014892578,89.66073608398438,0.38703222665601755,1
19,disjoint,ROMEtrace,1500,4024,Chris Daughtry,Julian Lennon,P1303,P1303,5,5,0,0,1.0,0.9930340051651001,1.0,0.9999993443489075,0.9999993443489075,1.3214244518583025e-42,3.200565692517882e-42,7.131744384765625,16.095848083496094,7.131744384765625,40.22511672973633,0.9999993443489075,0.9999993443489075,0.9999993443489075,16.99752426147461,ok,10,0,10,16.095848083496094,7.131744384765625,23.22759246826172,2.4990989304242515,1
19,disjoint,Random,1500,4024,Chris Daughtry,Julian Lennon,P1303,P1303,23,23,0,0,0.9999998807907104,1.0,0.9999998807907104,1.0,1.0,1.401298464324817e-45,2.802596928649634e-45,10.145437240600586,44.543701171875,10.145437240600586,45.88020324707031,1.0000001192093038,1.0,1.0,-8.808935165405273,ok,46,0,46,44.543701171875,10.145437240600586,54.689138412475586,1.0300042888227523,1
20,disjoint,ACDC,3705,3080,Vlada Roslyakova,Ek Hi Bhool,P103,P364,2,15,3,24,0.9979169368743896,0.9990372657775879,0.9979169368743896,2.1541879959841026e-06,0.9999728202819824,1.692854769742925e-16,0.0,20.128673553466797,22.86846923828125,20.128673553466797,33.11968994140625,2.1586846724250514e-06,2.1541879959841026e-06,0.9999728202819824,-9.877452850341797,ok,17,27,44,22.86846923828125,20.128673553466797,42.99714279174805,1.4482687755053019,0
